ἄνθρωπος, -ου, ὁ|a man (anthropology)
πνεῦμα, -ατος, τό|a spirit, the Spirit (pneumatology, the doctrine of the Holy Spirit)
πολύς, πολλή, πολύ|much; plural, many (polytheism)
υἱός, -οῦ, ὁ|a son
ὑπό|with the gen., by; with the acc., under (hypodermic, under the skin [δέρμα])  
ἄγγελος, -ου, ὁ|a messenger, an angel (angel)
ἁμαρτία, -ας, ή|a sin, sin (hamartiology, the doctrine of sin)
ἄv|an untranslatable word, the effect of which is to make a statement contingent which would otherwise be definite
βασιλεία, -ας, ἡ|a kingdom
γράϕω|I write (palaeography, the study of ancient [παλαιός] writing)
δόξα, -ης, ἡ|glory (doxology)
ἔθνος, -ους, τό|a nation; plural, the Gentiles (ethnology)
εἰσέρχομαι|I go or come in or into, enter
ἔργον, -ου, τό|work (energy)
ἐσθίω|I eat (akin to edible)
εὑρίσκω|I find (heuristic, the method in education by which a pupil is set to find out things for himself; eureka, ‘I have found [it]!’— Archimedes)
ἰδού|see! behold!
ἵστημι|I cause to stand, I stand (akin to stand)
καθώς|as, even as
καρδία, -ας, ἡ|the heart (cardiac)
κόσμος, -ου, ὁ|the world (cosmic, cosmos)
μέγας, μεγάλη, μέγα|large, great (megaphone; omega [literally, great ‘o’])
μέν|postpositive particle, on the one hand, indeed (often it is better left untranslated and its presence shown by stress of the voice and by translating a following δέ by ‘but’)
νεκρός, -ά, -όν|dead; as a noun, a dead body, a corpse (necropolis, city of the dead, a cemetery)
νόμος, -ου, ὁ|a law, the Law (Deuteronomy, the second [statement of the] law)
ὅστις, ἥτις, ὅτι|whoever, whichever, whatever
ὄχλος, -ου, ὁ|a crowd, multitude (ochlocracy, mob-rule)
παρά|with the gen. from; with the dat., beside, in the presence of; with the acc., alongside of (paragraph, originally, in manuscripts, a stroke or line drawn in the margin beside the column of writing to mark the division of sections)
πόλις, -εως, ἡ|a city (Neapolis, ‘New City,’ Acts 16:11; Constantinople, Constantine’s City)
πορεύομαι|I go, proceed
τε|(an enclitic connective particle, weaker in force than καί), and
τότε|then, at that time
ὑπέρ|with the gen., in behalf of; with the acc., above (hypercritical)
χάρις, -ιτος, ἡ|grace (Charissa, [girl’s name])
χείρ, χειρός, ἡ|a hand (chirography, handwriting)  
ἀγαπάω|I love
αἰών, -ῶνος, ὁ|an age (aeon)
ἄλλος, -η, -ο|other, another (allegory, description of one thing under the image of another)
ἀμήν|verily, truly, amen (amen)
ἀποστέλλω|I send (with a commission) (cf. Apostle)
ἀρχιερεύς, -έως, ὁ|chief priest, high priest
ἀϕίημι|I let go, permit, forgive (aphesis, the gradual loss of a short unaccented initial vowel, as ‘squire’ for ‘esquire’)
βάλλω|I throw, put (ballistics, the science of the motion of projectiles)
βλέπω|I see
δοῦλος, -ου, ὁ|a slave
δύο|two (dyad)
ἐγείρω|I raise up
ἕως|until; with the gen., as far as
ζάω|I live
ζωή, -ῆς, ἡ|life (Zoe [girl’s name])
καλέω|I call, name, invite
λαός, -οῦ, ὁ|a people (laity)
νῦν|now
ὅταν|whenever
οὐδέ|and not, not even, neither, nor
πάλιν|again (palimpsest, a manuscript which has been used again, the earlier writing having been erased [ψῆν, to scrape or erase])
παραδίδωμι|I hand over, betray
προϕήτης, -ου, ὁ|a prophet (prophet)
σάρξ, σαρκός, ἡ|flesh (sarcophagus, a [stone] coffin which ‘eats’ [ϕαγεῖν] the contents)
σύν|with the dat., with (syntax, sentence construction, involving grammatical arrangement [τάσσειν] of words with one another)
σῶμα, -ατος, τό|a body (somatic)
ϕωνή, -ῆς|a sound, voice (phonetic)  
ἀγαθός, -ή, -όv|good (Agatha)
ἀγάπη, -ης, ἡ|love
ἀλήθεια, -ας, ἡ|truth
ἀνίστημι|I cause to rise; I arise
ἀπέρχομαι|I depart
ἀποθνῄσκω|I die
βασιλεύς, -έως, ὁ|a king (Basil)
δεῖ|it is necessary
δύναμις, -εως, ἡ|power (dynamite)
ἐκκλησία, -ας, ἡ|assembly, congregation, a church, the Church (ecclesiastic)
ἐξουσία, -ας, ἡ|authority
ζητέω|I seek
θάνατος, -ου, ὁ|death (thanatopsis, a view of, or meditation on, death)
ἴδιος, -α, -oν|one’s own (idiosyncrasy)
κρίνω|I judge, decide (critic)
μέλλω|I am about to
μένω|I remain (akin to permanent)
ὁδός, -οῦ, ἡ|a way, road, journey, (anode, cathode, electrical terminals)
οἶκος, -ου, ὁ|a house (economy, household management)
ὅλος, -η, -oν|whole (holocaust)
ὁράω|I see (cf. panorama [πᾶν, all + ὅραμα, a view])
ὅσος, -η, -ον|as great as, as many as
ὅτε|when
παρακαλέω|I beseech, exhort, console (Paraclete, the Comforter, Helper, Advocate, or Counselor)
πῶς|how?
σῴζω|I save (in biochemistry, sozin, any defensive protein in the animal body)
ψυχή, -ῆς, ἡ|soul, life, self (all words beginning with psycho-)
ὥρα, -ας, ἡ|an hour (horoscope, prediction based on the observation of the hour of one’s birth)  
αἷμα, -ατος, τό|blood (anaemia, without blood; haemoglobin)
αἴρω|I take up, take away
ἀλλήλων|of one another (parallel, beside [παρ’] one another)
ἄρτος, -ου, ὁ|bread, a loaf
γεννάω|I beget (cf. hydrogen, so called as being considered the generator of water [ὕδωρ])
διδάσκω|I teach (cf. didactic)
δικαιοσύνη, -ης, ἡ|righteousness
εἰρήνη, -ης, ἡ|peace (Irene)
ἐκεῖ|there
ἐρῶ|I shall say
ἕτερος, -α, -ον|other, another, different (heterodoxy)
θάλασσα, -ης, ἡ|the sea (thalassic)
καλός, -ή, -όν|beautiful, good (kaleidoscope [εἶδος, form + σκοπεῖν, to behold])
οἰκία, -ας, ἡ|a house
οὔτε|neither, nor
ὀϕθαλμός, -οῦ, ὁ|an eye (ophthalmology)
περιπατέω|I walk; I live (peripatetics)
πούς, ποδός, ὁ|a foot (podium)
πρῶτος, -η, -oν|first (all words beginning with proto-)
τέκνον, -ου, τό|a child
τίθημι|I place (cf. antithesis)
τόπος, -ου, ὁ|a place (topography, topic)
ϕοβέομαι|I fear (cf. phobia)  
ἀκολουθέω|I follow (cf. acolyte, the assistant who carries the wine and water and the lights at the celebration of the Mass, attending or following the priest)
ἀναβαίνω|I go up (Anabasis)
ἀπόλλυμι|I destroy; middle, I perish (Apollyon, the angel of the bottomless pit, Rev. 9:11)
ἄρχω|I rule; in the New Testament almost always middle, I begin
ἕκαστος, -η, -oν|each
ἐκβάλλω|I cast out
ἐνώπιον|with the gen., before
ἔτι|still, yet, even
κάθημαι|I sit
καιρός, -οῦ, ὁ|time, an appointed time, season
μηδείς, μηδεμία, μηδέν|no one
μήτηρ, μητρός, ἡ|a mother (akin to maternal)
ὅπου|where, whither
πίπτω|I fall
πληρόω|I fill, fulfill
προσέρχομαι|I come to
προσεύχομαι|I pray
ὥστε|so that  
αἰτεω|I ask
ἀνοίγω|I open
ἀποκτείνω|I kill
ἀπόστολος, -ου, ὁ|an Apostle (Apostle)
βαπτίζω|I baptize (baptize)
δίκαιος, -α, -oν|right, just, righteous
δώδεκα|twelve (dodecagon)
ἐμός, ἐμή, ἐμόν|my, mine
ἑπτά|seven (heptagon)
εὐαγγέλιον, -ου, τό|good news (of the coming of the Messiah), the Gospel (Evangel)
ἱερόν, -οῦ, τό|a temple (cf. hierarchy)
καταβαίνω|I go down
κεϕαλή, -ῆς, ἡ|head (cephalic)
μᾶλλον|more, rather
μαρτυρέω|I bear witness, testify (cf. martyr)
πέμπω|I send
πίνω|I drink (cf. potion)
πονηρός, -ά, -όν|evil
πρόσωπον, -ου, τό|face (prosopography, description of the face or personal appearance)
πῦρ, πυρός, τό|fire (pyre)
σημεῖον, -ου, τό|a sign (cf. semaphore, bearing [ϕέρειν] a sign)
στόμα, -ατος, τό|a mouth (stomach)
τηρέω|I keep
ὕδωρ, ὕδατος, τό|water (hydrophobia; dropsy [formerly hydropsy])
ὑπάγω|I depart
ϕῶς, ϕωτός, τό|light (photography, writing [γράϕειν] with light)
χαίρω|I rejoice  
ἀγαπητός, -ή, -όν|beloved
ἄγω|I lead
αἰώνιος, -oν|eternal (aeonian)
ἀπολύω|I release
γραμματεύς, -έως, ὁ|a scribe (cf. grammatical)
δαιμόνιον, -ου, τό|a demon (demon)
δοκέω|I think; seem (Docetism, the early heresy that Christ’s body was phantasmal or of celestial substance which merely seemed human)
ἐντολή, -ῆς, ἡ|a commandment
ἔξω|without; with the gen., outside
θέλημα, -ατος, τό|will (Monothelite, one who holds that Christ had but one will, the divine; condemned by the Sixth General Council, A.D. 680)
ἱμάτιον, -ου, τό|a garment
καρπός, -οῦ, ὁ|fruit
κηρύσσω|I proclaim (as a herald, κῆρυξ), preach
νύξ, νυκτός, ἡ|night
ὄρος, ὄρους, τό|a mountain (orology, the scientific study of mountains)
πιστός, -ή, όν|faithful, believing
πλοῖον, -ου, τό|a boat
πρεσβύτερος, -α, -oν|elder (presbyter)
ῥῆμα, -ατος, τό|a word (cf. rhetoric)
σάββατον, -ου, τό|the Sabbath (Sabbath)
συνάγω|I gather together (synagogue)
τρεῖς, τρία|three (triad)
ϕέρω|I carry, bear, lead (Christopher, bearing Christ)
ὧδε|hither, here  
ἀρχή, -ῆς, ἡ|a beginning (archaic)
ἀσπάζομαι|I greet, salute
δέχομαι|I receive
διδάσκαλος, -oυ, ὁ|a teacher (cf. didactic)
δοξάζω|I glorify (cf. doxology)
ἐπερωτάω|I ask, question, demand of
ἐρωτάω|I ask, request, entreat
ἤδη|now, already
θρόνος, -ου, ὁ|a throne (throne)
κράζω|I cry out
λοιπός, -ή, -όν|remaining; as a noun, the rest; as an adverb, for the rest, henceforth
μέσος, -η, -oν|middle, in the midst (Mesopotamia, in the midst of the rivers [Tigris and Euphrates])
οὐχί|not (strengthened form of οὐ)
πλείων, -ονος|larger, more (pleonasm)
προσκυνέω|I worship
συναγωγή, -ῆς, ἡ|a synagogue (synagogue)
τοιοῦτος, -αύτη, -οῦτον and -οῦτο|such
ὑπάρχω|I am, exist; τὰ ὑπάρχοντα, one’s belongings
ϕημί|I say
χαρά, -ᾶς, ἡ|joy, delight  
ἄχρι, ἄχρις|with the gen., as far as, up to; as a conjunction, until
γλῶσσα, -ης, ἡ|a tongue, language (glossolalia, the gift of speaking [cf. λαλεῖν] in tongues, 1 Cor. 14)
γραϕή, -ῆς, ἡ|a writing, Scripture (Hagiographa, books of the Hebrew Scriptures not included under Law and Prophets)
δεξιός, -ά, -όν|right (opp. left) (akin to dexterous)
διό|wherefore
ἐλπίς, -ίδος, ἡ|hope
ἐπαγγελία, -ας, ἡ|a promise
ἔσχατος, -η, -oν|last (eschatology)
εὐαγγελίζω|I bring good news, preach good tidings (the Gospel) (evangelize)
εὐθύς|straightway, immediately
θεωρέω|I look at, behold (theorem; theory)
λίθος, -oυ, ὁ|a stone (monolith; lithograph)
μακάριος, -α, -oν|blessed, happy (macarism, a beatitude)
μηδέ|but not, nor, not even
μόνος, -η, -oν|alone, only (monologue)
ὅπως|in order that, that
παιδίον, -ου, τό|an infant, child
παραβολή, -ῆς, ἡ|a parable (parable)
πείθω|I persuade
σοϕία, -ας, ἡ|wisdom (philosophy)
χρόνος, -ου, ὁ|time (chronology)  
ἁμαρτωλός, -όν|sinful; as a noun, a sinner
ἀπαγγέλλω|I announce, report
ἀποδίδωμι|I give back, pay; middle, I sell
ἄρα|then, therefore
ἔμπροσθεν|with the gen., in front of, before
ἔρημος, -oν|solitary, deserted; as a noun, ἡ ἔρημος, the desert, wilderness (hermit)
ἔτος, -ους, τό|a year (the Etesian winds in the Mediterranean region blow annually)
καθίζω|I seat, sit (cf. cathedral, properly, the church which contains the bishop’s chair or seat)
κακός, -ή, -όν|bad, evil (cacophony, discord)
κρατέω|I grasp (cf. plutocratic, grasping wealth [πλοῦτος])
κρίσις, -εως, ἡ|judgment (crisis)
μικρός, -ά, -όν|small, little (microscope; omicron, little ‘o’)
οὐκέτι|no longer
παραλαμβάνω|I receive
ποῦ|where? whither?
πρό|with the gen., before (prologue)
προσϕέρω|I bring to, offer
σπείρω|I sow
σωτηρία, -ας, ἡ|salvation (soteriology)
τρίτος, -η, -oν|third
τυϕλός, -ή, -όν|blind (typhlosis, medical term for blindness)
ϕανερόω|I make manifest
ϕόβος, -ου, ὁ|fear, terror (phobia)
ϕυλακή, -ῆς, ἡ|a guard, a prison, a watch
χρεία, -ας, ἡ|a need  
ἁμαρτάνω|I sin (cf. hamartiology, the doctrine of sin)
ἀνάστασις, -εως, ἡ|resurrection (Anastasia [girl’s name])
ἅπας, -ασα, -αν|all
γενεά, -ᾶς, ἡ|a generation (genealogy)
δεύτερος, -α, -oν|second (Deuteronomy, the second [statement of the] law)
δέω|I bind (diadem, literally, something bound around or across)
διώκω|I pursue, persecute
ἐγγίζω|I come near
ἐπιγινώσκω|I come to know, recognize
εὐλογέω|I bless (eulogize)
θαυμάζω|I marvel, wonder at (cf. thaumaturge, a worker of miracles or wonders)
θεραπεύω|I heal (therapeutic)
θηρίον, -ου, τό|a wild beast (theriomorphic, having animal form; as, theriomorphic gods)
θλῖψις, -εως, ἡ|tribulation
κατοικέω|I inhabit, dwell
λύω|I loose (cf. analysis, a resolving or unloosing into simple elements)
μέρος, -ους, τό|a part (in biology, pentamerous, of five parts)
ναός, -οῦ, ὁ|a temple
ὅμοιος, -α, -oν|like (Homoiousian, one holding that Father and Son in the Godhead are of like [but not the same] substance; a semi-Arian)
σεαυτοῦ|of thyself
σήμερον|today
σπέρμα, -ατος, τό|a seed (sperm)
σταυρόω|I crucify
τιμή, -ῆς, ἡ|honor, price (cf. Timothy, honoring God)
ϕωνέω|I call (phonetic)  
ἄξιος, -α, -oν|worthy (axiom; in philosophy and psychology, axiological, pertaining to the science of values)
ἅπτομαι|I touch
διέρχομαι|I pass through
δικαιόω|I justify, pronounce righteous
ἐπιθυμία, -ας, ἡ|eager desire, passion
ἐπιτίθημι|I lay upon
ἐργάζομαι|I work (cf. energy)
ἑτοιμάζω|I prepare
εὐχαριστέω|I give thanks (Eucharist)
θύρα, -ας, ἡ|a door
ἱκανός, -ή, -όν|sufficient, able, considerable
καινός, -ή, -όν|new
κλαίω|I weep
λογίζομαι|I account, reckon (cf. logic)
μισέω|I hate (misogynist, a woman-hater)
μνημεῖον, -ου, τό|a tomb, monument
οἰκοδομέω|I build, edify
ὀλίγος, -η, -oν|little, few (oligarchy, rule by the few)
οὐαί|woe! alas!
πάντοτε|always
παραγίνομαι|I come, arrive
παρίστημι|I am present, stand by
πάσχω|I suffer
περισσεύω|I abound, am rich
πλανάω|I lead astray (planet, to the ancients, an apparently ‘wandering’ celestial body)
πράσσω|I do, perform (praxis, practice, as opposed to theory)
πρόβατον, -ου, τό|a sheep
τέλος, -ους, τό|end (teleology, in philosophy, the view that developments are due to the purpose or design [end] that is served by them)
χωρίς|with the gen., without, apart from  
ἀγρός, -οῦ, ὁ|a field (akin to agrarian)
ἄρτι|now, just now
ἄρχων, -οντος, ὁ|a ruler (monarch, sole [μόνος] ruler)
ἀσθενέω|I am weak
βλασϕημέω|I revile, blaspheme (blaspheme)
βούλομαι|I wish, determine (akin to volition)
διάβολος, -oν|slanderous, accusing falsely; as a noun, the Accuser, the Devil (diabolical)
διακονέω|I wait upon (especially at table), serve (generally), minister (cf. deacon)
ἐκπορεύομαι|I go out
ἐμαυτοῦ|of myself
ἐπιστρέϕω|I turn to, return
εὐθέως|immediately
καλῶς|well
μαρτυρία, -ας, ἡ|a testimony, evidence (cf. martyrdom)
μάρτυς, -υρος, ὁ|a witness (martyr)
μετανοέω|I repent
ὀπίσω|behind, after; with the gen., behind, after (cf. opisthograph, a manuscript written upon both the back and the front, Rev. 5:1)
ὀργή, -ῆς, ἡ|anger
οὖς, ὠτός, τό|an ear (otology)
ὀϕείλω|I owe, ought
πειράζω|I test, tempt, attempt
πέντε|five (Pentateuch)
περιτομή, -ῆς, ἡ|circumcision
προσευχή, -ῆς, ἡ|prayer
πτωχός, -ή, -όν|poor; as a noun, a poor man
τέσσαρες, -ων|four (the Diatessaron of Tatian, a harmony of the four Gospels made about A.D. 170; literally, through [the] four)
ὑποστρέϕω|I return
ὑποτάσσω|I subject, put in subjection (in grammar, hypotaxis, subordination of clauses)
ὥσπερ|just as, even as  
ἀναγινώσκω|I read
ἀρνέομαι|I deny
βιβλίον, -ου, τό|a book (Bible)
δεικνύω or δείκνυμι|I show (in logic, apodeictic, of clear demonstration)
διαθήκη, -ης, ἡ|a covenant
διακονία, -ας, ἡ|waiting at table, (in a wider sense) service, ministry (diaconate)
δυνατός, -ή, -όν|powerful, possible (cf. dynamite)
ἐγγύς|near
ἔξεστι|it is lawful
ἐχθρός, -ά, -όν|hating; as a noun, an enemy
ἥλιος, -ου, ὁ|the sun (helium)
ἱερεύς, -έως, ὁ|a priest (hierarchy)
καυχάομαι|I boast
μέλος, -ους, τό|a member
μήτε|neither, nor
οἶνος, -ου, ὁ|wine
πλῆθος, -ους, τό|a multitude (cf. plethora)
ποῖος, -α, -oν|what sort of? what?
ποτήριον, -ου, τό|a cup
συνέρχομαι|I come together
ὑπομονή, -ῆς, ἡ|steadfast endurance
ϕυλάσσω|I guard (cf. prophylactic)  
ἀγοράζω|I buy (cf. agora, the market place)
ἀκάθαρτος, -oν|unclean
ἄνεμος, -ου, ὁ|a wind (anemone; anemometer)
ἀρνίον, -ου, τό|a lamb
γε|indeed, at least, really, even
διδαχή, -ῆς, ἡ|teaching (cf. didactic)
ἐλεέω|I have mercy (cf. eleemosynary; alms)
ἐλπίζω|I hope
ἐπικαλέω|I call, name; middle, I invoke, appeal to
ἐπιτιμάω|I rebuke, warn
καθαρίζω|I cleanse (catharize)
ναί|yea, truly, yes
ὁμοίως|likewise
παραγγέλλω|I command, charge
παρέρχομαι|I pass by, pass away; I arrive
παρρησία, -ας, ἡ|boldness (of speech), confidence
πλήν|however, but, only; with the gen., except
σκανδαλίζω|I cause to stumble (scandalize)
σκότος, -ους, τό|darkness (scotoscope, a field-glass for seeing by night)
συνείδησις, -εως, ἡ|conscience
ϕαίνω|I shine, appear (phantom; phenomenon)
ϕεύγω|I flee (cf. fugitive)
ϕυλή, -ῆς, ἡ|a tribe (in zoology, phylum, one of the large fundamental divisions of the animal kingdom)  
ἀληθινός, -ή, -όν|true
γαμέω|I marry (in biology, gamete, a matured germ cell)
γνῶσις, -εως, ἡ|wisdom (gnosis; Gnostic)
διάκονος, -ου, ὁ and ἡ|a servant, administrator, deacon (deacon)
ἐνδύω|I put on, clothe
ἐπεί|when, since
ἡγέομαι|I am chief; I think, regard
θυσία, -ας, ἡ|a sacrifice
ἴδε|see! behold!
ἰσχυρός, -ά, -όν|strong
ἰσχύω|I am strong, able
κρίμα, -ατος, τό|judgment (cf. crisis)
μάχαιρα, -ης, ἡ|a sword
μισθός, -οῦ, ὁ|wages, reward
μυστήριον, -ου, τό|a mystery (mystery)
οὔπω|not yet
παράκλησις, -εως, ἡ|an exhortation, consolation (cf. Paraclete, the Comforter, Helper, Advocate, or Counselor)
πάσχα, indeclinable, τό|a passover (paschal)
πλούσιος, -α, -ον|rich (cf. plutocratic)
πόθεν|whence?
ποτέ|at some time, once, ever
προσκαλέομαι|I summon
προϕητεύω|I prophesy (cf. prophet)
τελέω|I finish, fulfill (cf. teleology, in philosophy, the view that developments are due to the purpose or design [τέλος] that is served by them)
ϕίλος, -η, -ον|loving; as a noun, a friend (bibliophile)  
ἁγιάζω|I sanctify (cf. hagiolatry, the worship of saints)
ἀδελϕή, -ῆς, ἡ|a sister
ἀδικία, -ας, ἡ|unrighteousness
ἀληθής, -ές|true
ἀποκαλύπτω|I reveal (apocalypse)
βαστάζω|I bear, carry
ἐκεῖθεν|thence, from that place
ἔλεος, -ους, τό|pity, mercy (cf. eleemosynary; alms)
ἑορτή, -ῆς, ἡ|a feast
ἥκω|I have come
θυγάτηρ, -τρός, ἡ|a daughter
ἰάομαι|I heal (cf. pediatrics, medical care of children [παῖς, παιδός])
καταργέω|I bring to naught, abolish
κελεύω|I order
κώμη, -ης, ἡ|a village
λυπέω|I grieve
νικάω|I conquer (cf. Nicholas, victor over the people [λαός])
ὀμνύω or ὄμνυμι|I swear, take an oath
πόσος, -η, -oν|how great? how much?
σός, σή, σόν|thy, thine
σταυρός, -οῦ, ὁ|a cross
στρατιώτης, -ου, ὁ|a soldier
συνίημι|I understand
ϕρονέω|I think
χήρα, -ας, ἡ|a widow
χώρα, -ας, ἡ|a country (chorography, describing, or description, of districts)  
ἀδικέω|I wrong, do wrong
ἀναβλέπω|I look up, receive sight
γνωρίζω|I make known
δέκα|ten (Decapolis, a league originally consisting of ten Greek cities, mostly SE. of the sea of Galilee)
δένδρον, -ου, τό|a tree (rhododendron, lit. rose-tree)
δουλεύω|I serve
ἕνεκα or ἕνεκεν|with the gen., on account of
καθαρός, -ά, -όν|clean (catharsis)
μανθάνω|I learn (cf. mathematics)
μήποτε|lest perchance
νεϕέλη, -ης, ἡ|a cloud (nephelometer)
ὁμολογέω|I confess, profess
οὗ|where
πνευματικός, -ή, -όν|spiritual (pneumatic)
πορνεία, -ας, ἡ|fornication (cf. pornography)
προσέχω|I attend to, give heed to
ϕιλέω|I love (cf. bibliophile)  
ἀκοή, -ῆς, ἡ|hearing; a report
ἀναιρέω|I take up; kill
ἀσθένεια, -ας, ἡ|weakness (neurasthenia, nervous prostration)
ἀσθενής, -ές|weak (cf. neurasthenia)
διότι|because
ἐκλεκτός, -ή, -όν|chosen, elect (cf. eclecticism)
ἐπιστολή, -ῆς, ἡ|a letter (epistle)
καταλείπω|I leave
κατηγορέω|I accuse (cf. categorical)
κεῖμαι|I lie, am laid
νοῦς, νοός, ὁ|the mind (noetic)
παῖς, παιδός, ὁ and ἡ|a boy, girl, child, servant (pedagogue, literally, child-leader)
πάρειμι|I am present; I have arrived
παρονσία, -ας, ἡ|presence, coming (especially Christ’s [second] coming in glory) (Parousia)
περιβάλλω|I put around, clothe
πίμπλημι|I fill
σωτήρ, -ῆρος, ὁ|Saviour (cf. soteriology)  
ἀμπελών, -ῶνος, ὁ|a vineyard
ἀνάγω|I lead up; middle, I put to sea, set sail
ἄπιστος, -oν|unbelieving, faithless
ἀστήρ, -έρος, ὁ|a star (aster)
αὐξάνω|I cause to grow; increase (cf. auxiliary)
γρηγορέω|I watch (Gregory)
εἰκών, -όνος, ἡ|an image (icon)
ἐλεύθερος, -α, -oν|free
ζῷον, -ου, τό|a living creature, an animal (zoology)
θυσιαστήριον, -ου, τό|an altar
κοπιάω|I toil
κωλύω|I forbid, hinder
λευκός, -ή, -όν|white (leukemia, literally, white blood [αἷμα])
μιμνῄσκομαι|I remember (cf. mnemonics)
νέος, -α, -oν|new, young (all words beginning with neo-)
πεινάω|I hunger
πέραν|with the gen., beyond
περισσός, -ή, -όν|excessive, abundant
σκεῦος, -ους, τό|a vessel; plural, goods
τελειόω|I fulfill, make perfect
χαρίζομαι|I give freely, forgive  
δέομαι|I beseech
δοκιμάζω|I prove, approve
θεάομαι|I behold (theater)
καθεύδω|I sleep
καθίστημι|I set, constitute
κατεργάζομαι|I work out
κοιλία, -ας, ἡ|the belly (stomach or intestines, or both); womb (coeliac, pertaining to the abdomen)
μετάνοια, -ας, ἡ|repentance
μηκέτι|no longer
νυνί|now
πληγή, -ῆς, ἡ|a blow, wound, plague (plague)
πλοῦτος, -ου, ὁ|wealth (plutocrat)
πωλέω|I sell (cf. monopoly)
στρέϕω|I turn (strophe)
συνέδριον, -ου, τό|a council, the Sanhedrin (Sanhedrin)
χιλίαρχος, -ου, ὁ|a military tribune, captain (chiliarch)
ὡσεί|as, like, about  
ἀγνοέω|I do not know (agnostic)
ἀντί|with the gen., instead of, for (all words beginning with anti-)
ἀργύιον, -ου, τό|silver (in pharmacy, Argyrol, the trade-name of a silver-protein compound)
βασιλεύω|I reign
γένος, -ους, τό|race, kind (akin to genus)
διδασκαλία, -ας, ἡ|teaching
ἑκατοντάρχης (or -αρχος), -ου, ὁ|a centurion
ἐκλέγομαι|I pick out, choose (eclectic)
εὐδοκέω|I think it good, am well pleased with
ἐϕίστημι|I stand over, come upon
θερίζω|I reap
λατρεύω|I serve, worship (cf. Mariolatry)
