סוּס|horse
שׁ.כ.ב.|lie down
ח.פ.ר.|scout out
מֵאַ֫יִן|from where?
שַׁ֫עַר|gate
ס.ג.ר.|close
חֹ֫שֶׁךְ|darkness
אָ֫נָה|where to?
מַהֵר|quickly
אֵימָה|awe; dread
מִפְּנֵי|because of; away from
חֶ֫בֶל|rope
בְּעַד|through
חַלּוֹן|window
קִיר|wall
מִדְבָּר|wilderness; desert
ח.פ.ץ.|desire; want
א.ר.ר.|curse
אָלָה|curse
מ.ת.ק.|be sweet
יִשְׁמְעֵאלִי|Ishmaelite
כְּנַעֲנִי|Canaanite
שִׁמְשׁוֹן|Samson
תִּמְנָ֫תָה|(to) Timnah
פְּלִשְׁתִּי|Philistine
ע.ל.ה.|go up
בָּחוּר|bachelor; young man; selected
מֵרֵעַ|companion
ח.ו.ד.|pose a riddle
חִידָה|riddle
אִם|if
סָדִין|garment
חֲלִפֹת|changes of clothes
מַאֲכָל|food
עַז|strong
גּ.ד.ל.|be(come) great
וַתָּבֹ֫אנָה|and they (f) came
רִאשׁוֹן|first
שְׁלִשִׁי|third
שִׁשִּׁי|sixth
שְׁבִיעִי|seventh
שְׁמִינִי|eighth
תְּשִׁיעִי|ninth
עֲשִׂירִי|tenth
ק.ר.ב.|be near; approach
ז.ק.ן.|be(come) old
מ.ל.א.|be full
עַ֫יִן (f)|eye
ח.כ.ם.|be wise
כּ.ב.ד.|be heavy; be serious
ק.ט.ן.|be(come) small; be(come) unimportant
י.שׁ.ן.|sleep
י.שׁ.ר.|be upright; be pleasing
ק.ד.שׁ.|be holy
ר.ע.ב.|be hungry
חָמָס|violence
אֲרִי|lion
לוּלֵא|if not (for the fact that)
ח.ר.שׁ|plough
עֶגְלָה|heifer
צ.ל.ח.|be strong
רוּחַ (c)|spirit
פֹּה|here
חֶ֫דֶר|chamber; room
אֱנוֹשׁ|human
אֶפְרַ֫יִם|Ephraim
חַנָּה|Hannah
פְּנִנָּה|Peninnah
אָכְלָה|food
שִׁלֹה|Shiloh
עֵלִי|Eli
מְזוּזָה|doorpost
ח.שׁ.ב.|consider
שִׁכּוֹר|drunk
מָתַי|when
ע.נ.ה.|answer
קְשֵׁה־רוּחַ|wretched
שֵׁכָר|intoxicant
שׁ.פ.ךְ.|pour out
שְׁאֵלָה|request
תְּקוּפָה|circulation; turning (of time)
שְׁמוּאֵל|Samuel
הֵ֫נָּה|to here
אָשֵׁם|guilty; responsible
מ.ל.ט.|flee (nifal)
שׁ֫וּבוּ|return!
שָׁבִים|returning
שׁ.מ.ד|be destroyed (nifal)
שׁ.ב.ר.|break
תְּפִלָּה|prayer
גּוֹי|nation
אַךְ כִּי|only; but
מִשְׁפָּט|manner; type; judgement
ר.ו.ץ.|run (qal)
טַבָּח|cook
רַקָּחוֹת|perfumers (f)
אֹפֶה|baker
זֶ֫רַע|seed
ע.שׂ.ר.|tithe
חֲמוֹר|donkey
מְלָאכָה|work
ז.ע.ק.|cry out
כִּי אִם|on the contrary
ק.ה.ל.|gather (hifil)
כָּבוֹד|honour; glory
ל.ב.שׁ.|clothe (hifil)
ק.ר.ב.|bring near; present (hifil)
שׁ.מ.ע.|announce; make heard (hifil)
שִׁיר|song
בַּחוּץ|outside
ל.ע.ג.|mock (hifil)
ל.ע.ט.|stuff with food (hifil)
שׁ.א.ר.|spare; leave behind (hifil)
שׁ.כ.ם.|rise early (hifil)
ר.ח.ק.|remove (hifil)
שׁ.ל.ךְ.|throw (hifil)
שׁ.ק.ף.|look down (hifil)
כּ.ע.ס.|vex (hifil)
מ.ל.ךְ.|make rule (hifil)
ל.ב.ן.|become white (hifil)
שׁ.ר.שׁ.|take root (hifil)
צ.ד.ק.|declare righteous (hifil)
דֹּר|generation
חֵטְא|sin
עֵת|time
קֶ֫רֶן (f)|horn
יִשַׁי|Jesse
בֵּית לֶ֫חֶם|Bethlehem
לִקְרַאת|towards
זֶ֫בַח|sacrifice
אֱלִיאָב|Eliab
אַךְ|indeed, surely
נֶ֫גֶד|in front of; opposite
מָשִׁיחַ|anointed one
נ.ב.ט.|look (hifil)
גָּבֹהַּ|tall
קוֹמָה|height
לֵבָב|heart
מְאוּמָה|anything
שְׁאֵרִית|remainder
שׁ.כ.ב.|be laid out (hofal)
שׁ.ל.ךְ.|be thrown (hofal)
כְּסִיל|fool
כּ.ל.ם.|be humiliated (hofal)
צִפּוֹר (c)|bird
קֶ֫בֶר|grave
אֲבִינָדָב|Abinadab
ע.ב.ר.|cause to pass (hifil)
שַׁמָּה|Shammah
תּ.מ.ם.|be finished (qal)
שׁ.א.ר.|remain (qal)
אַדְמוֹנִי|reddish, ruddy
רֹ֫אִי|appearance
מ.שׁ.ח.|anoint
בְּקֶ֫רֶב|in the midst of
דָּוִד|David
מַ֫עְלָה|afterward; above
שׁ.ז.ר.|be twisted (hofal)
שׁ.ל.ח.|send; send away; expel; release (piel)
כּ.פ.ר.|atone (piel)
בּ.ק.שׁ.|seek (piel)
ק.ב.ל.|accept; receive (piel)
ה.ל.ל.|praise (piel)
ק.ב.ץ.|gather (piel)
ר.ג.ל.|spy (piel)
בּ.ו.א.|come (qal)
ק.ל.ל.|curse (piel)
גּ.ד.ל.|make big (piel)
מ.ל.א.|fill (piel)
ק.ד.שׁ.|make holy (piel)
ל.מ.ד.|learn (qal); teach (piel)
ה.ל.ךְ|walk around (piel)
שׁ.ב.ר.|break (qal); smash into pieces (piel)
עִוֵר|blind
ע.ו.ר.|blind (piel)
שׁ.ל.שׁ.|do three times (piel)
ס.פ.ר.|tell (piel)
דּ.ב.ר.|speak (piel)
אָז|then
בִּי|please
זָר|stranger; foreigner
זוּלָה|except
שׁ.כ.ב.|lay someone/something down (hifil)
חֵיק|bosom; lap
חַי|living
שׁ.ל.ח.|be sent off (pual)
ס.פ.ר.|be told (pual)
בּ.ק.שׁ.|be sought (pual)
לוּ|if only
כִּי עַתָּה|then, in that case
ה.ר.ג.|kill (qal)
לוּלֵי|if not (in irreal conditions)
לוּלֵא|if not (in irreal conditions)
גּ.נ.ב.|be stolen away (pual)
שׁ.ל.ם.|pay; repay (piel)
צ.ו.ה.|command (piel)
גָּלִיל|rod; roller
תַּרְשִׁישׁ|beryl (or possibly other precious stone)
חֶלְקָה|portion of land
פֶּ֫שַׁע (f)|transgression
נֶ֫דֶר|vow
גּ.ז.ר.|cut (qal)
כּ.מ.ר.|be stirred; be warmed (nifal)
רַחֲמִים|compassion; mercy
יָלוּד|newborn
מ.ו.ת.|kill (hifil)
שׁ.פ.ט.|judge (qal)
קֶ֫רֶב|insides; entrails
חֲצִי|half
חֲלוֹם|dream
ה.ל.ךְ.|walk around (hitpael)
י.צ.ב.|position oneself; stand firm (hitpael)
ע.נ.ג.|take delight (hitpael)
ע.ט.ף.|feel faint (hitpael)
ה.פ.ךְ.|turn over and over (hitpael)
נ.ב.א.|prophesy (hitpael)
פּ.ת.ר.|interpret (qal)
ח.כ.ם.|act wisely (hitpael)
ק.ב.ץ.|assemble together (hitpael)
ק.שׁ.ר.|conspire (hitpael)
ס.ת.ר.|hide oneself (hitpael)
פּ.ל.ל.|pray (hitpael)
מִפְּנֵי|from
יְשׁוּעָה|help; salvation
שׂ.כ.ר.|earn wages (hitpael)
שׁ.מ.ר.|guard oneself (hitpael)
צ.ד.ק.|prove oneself innocent (hitpael)
דּ.ב.ר.|speak with someone (hitpael)
ט.מ.א.|become ritually impure (hitpael)
תּ.מ.ם.|show oneself to be blameless (hitpael)
לַ֫הַט|flame
עֵ֫מֶק|plain
דּוֹנַג|wax
שְׁבָא|Sheba
שֵׁ֫מַע|report
נ.ס.ה.|test (piel)
בֹּ֫שֶׂם|perfume
ע.ל.ם.|be concealed (nifal)
נ.ג.ד.|tell (hifil)
מוֹשָׁב|seat
מַעֲמָד|attendance; service
מְשָׁרֵת|servant
מַלְבּוּשׁ|garment
מַשְׁקֶה|drink
ע.ל.ה.|offer up in sacrifice (hifil)
א.מ.ן.|believe (hifil)
י.ס.ף.|add; increase (hifil)
שְׁמוּעָה|report
אַשְׁרֵי|blessed; fortunate
תָּמִיד|continually
ח.ר.ד.|tremble (qal)
מ.ה.ר.|hurry (piel)
גּ.ר.שׁ.|expel (piel)
מ.א.ן.|refuse (piel)
ע.ז.ב.|leave (qal)
בּ.ר.ךְ|bless (piel)
צ.ע.ק.|cry out (qal)
נ.ס.ע.|travel (qal)
ע.מ.ד.|stand (qal)
אֵיךְ|how
אֱלִישָׁע|Elisha
נֹּשֶׁה|creditor
אָסוּךְ|jar
חוּץ|outside
שָׁכֵן|neighbour
מֵאֵת|from (lit: from with)
מ.ע.ט.|get to few (hifil)
דֶּ֫לֶת|door
י.צ.ק.|pour (qal)
נ.ס.ע.|put away (hifil)
נ.ג.שׁ.|bring near (hifil)
ח.י.ה.|live (qal)
י.ת.ר.|be left over (nifal)
י.צ.א.|go out (qal)
מ.צ.א.|find (qal)
ק.ר.א.|call; call out; read (qal)
פּ.ג.ע.|meet (qal)
גָּג|roof
ק.נ.א.|envy (piel)
פּ.ל.א.|be marvellous (nifal)
נ.שׂ.א.|carry; lift; raise (qal)
אִמְרָה|word
תּ.פ.שׂ.|seize (qal)
יוֹנָה|Jonah
אֲמִתַּי|Amittai
נִינְוֵה|Nineveh
תַּרְשִׁישׁ|Tarshish
יָפוֹ|Joppa
שָׂכָר|fare
ט.ו.ל|throw (hifil)
סַ֫עַר|storm
ח.שׁ.ב.|be about to; calculate (piel)
מַלָּח|sailor
ק.ל.ל.|lighten (hifil)
יְרֵכָה|innermost part
סְפִינָה|ship
ר.ד.ם.|fall asleep (nifal)
רַב חֹבֵל|captain
מַה־לְּךָ|what's the matter with you?
ע.שׁ.ת.|bear in mind (hitpael)
ר.צ.ה.|be pleased with (qal)
ח.כ.ה.|wait (piel)
נ.ת.ן.|give (qal)
סַל|basket
כּ.ס.ה.|cover (piel)
צָעִיף|shawl
ר.א.ה.|see (qal); show (hifil)
בּ.כ.ה.|weep (qal)
ק.נ.ה.|buy; acquire (qal)
פּ.ת.ח.|open (qal)
גּ.ל.ה.|reveal (qal); uncover (piel)
בּ.ז.ה.|scorn; despise (qal)
כּ.ל.ה.|finish (piel)
ח.ר.ה.|be kindled (qal)
אַף|nose; anger
תּ.ע.ה.|lead astray (hifil)
ע.שִׂ.ה.|do; make (qal)
פּ.ת.ה.|be naïve (qal)
ר.ב.ה.|be numerous (qal); multiply (hifil)
בּ.נ.ה.|build (qal)
פּ.נ.ה.|turn (qal)
שׁ.ת.ה.|drink (qal)
ה.י.ה.|be (qal)
מִזְבֵּחַ|altar
שְׁאוֹל|Sheol (abode of the dead)
אֵי־מִזֶּה|from which
זַ֫עַף|rage
מ.נ.ה.|send; appoint (piel)
דָּג|fish
בּ.ל.ע.|swallow (qal)
דָּגָה|fish; fish (as species)
ק.י.א.|spew, vomit (hifil)
מְעֵי|belly of
א.ב.ה.|be willing (qal)
מִיָּמִים|sometime later (lit: from days)
א.פ.ה.|bake (qal)
א.ב.ד.|be lost; perish (qal)
א.מ.ר.|say (qal)
א.כ.ל.|eat (qal)
גּ.ו.ר.|sojourn (live as foreigner) (qal)
אֱ‍לִימֶ֫לֶךְ|Elimelech
נָעֳמִי|Naomi
מַחְלוֹן|Machlon
כִּלְיוֹן|Chilion
עָרְפָּה|Orpah
רוּת|Ruth
כַּלָּה|daughter-in-law
נ.ח.ם.|regret (nifal)
ל.ק.ח.|take (qal)
נ.ד.ר.|vow (qal)
נ.צ.ב|position (hifil)
נ.צ.ר.|keep watch over (qal)
נ.ג.שׁ.|approach (qal)
נ.כ.ה.|strike (hifil)
נ.צ.ל.|rescue (hifil)
נ.שׂ.א.|lift; carry; raise; marry (qal)
עֵ֫דֶר|herd
חֶ֫סֶד|kindness
מְנוּחָה|resting place
נ.שׁ.ק.|kiss (qal)
דּ.ב.ק.|cling (qal)
פּ.ג.ע.|beg (qal)
ל.י.ן.|lodge; spend the night (qal)
י.ל.ד.|bear (qal); be born (nifal); father (hifil)
י.כ.ח.|rebuke (hifil)
